unique_id,state,district,disease,no_of_cases,no_of_deaths,outbreak_start_date,reporting_date,current_status,week_number,year,week_date_range,rainfall_mm,max_temperature_c,min_temperature_c,total_calls,fever_calls,total_opd,fever_opd,occupancy_rate_pct,paracetamol_strips_sold,dengue_diagnostic_kits,aedes_larval_index,cases_lag_1,cases_lag_2,cases_lag_3,cases_rolling_3w,cases_rolling_7w,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,temperature_lag_1,temperature_lag_2,temperature_lag_3,min_temperature_lag_1,min_temperature_lag_2,min_temperature_lag_3,rainfall_trend_3w,temperature_trend_3w,min_temperature_trend_3w,week_sin,week_cos,mosquito_breeding_index,surge
TN/2015/17/0165,Tamil Nadu,Ariyalur,Acute Gastroenteritis,8,0,01-01-2015,07-01-2015,Closed,17,2015,Week 17 of 2015,7.949999999999999,32.09285714285714,0.0,279.0,112.0,1400.0,500.0,88.88888888888889,2551.0,46.0,15.554814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8854560256532099,-0.4647231720437685,0.5952630218350059,0
TN/2015/21/0218,Tamil Nadu,Ariyalur,Acute Gastroenteritis,23,0,01-01-2015,07-01-2015,Closed,21,2015,Week 21 of 2015,9.85,32.01,0.0,244.0,98.0,1239.0,476.0,101.2012012012012,2081.0,38.0,15.554814814814815,8.0,0.0,0.0,8.0,8.0,7.949999999999999,0.0,0.0,32.09285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5680647467311558,-0.8229838658936564,0.5952630218350059,1
TN/2015/23/0239,Tamil Nadu,Ariyalur,Acute Gastroenteritis,62,1,01-01-2015,07-01-2015,Under Surveillance,23,2015,Week 23 of 2015,65.38000000000001,29.25857142857143,0.0,258.0,101.0,1133.0,447.0,97.2972972972973,863.0,24.0,15.554814814814815,23.0,8.0,0.0,15.5,15.5,9.85,7.949999999999999,0.0,32.01,32.09285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35460488704253584,-0.9350162426854147,0.5952630218350059,1
TN/2015/45/0473,Tamil Nadu,Ariyalur,Acute Gastroenteritis,9,1,01-01-2015,07-01-2015,Under Surveillance,45,2015,Week 45 of 2015,88.82,28.21142857142857,0.0,290.0,117.0,1413.0,556.0,97.2972972972973,3293.0,163.0,15.554814814814815,62.0,23.0,8.0,31.0,31.0,65.38000000000001,9.85,7.949999999999999,29.25857142857143,32.01,32.09285714285714,0.0,0.0,0.0,28.714999999999996,-1.4171428571428548,0.0,-0.7485107481711011,0.6631226582407952,0.5952630218350059,0
TN/2016/24/0799,Tamil Nadu,Ariyalur,Acute Gastroenteritis,54,0,01-01-2016,07-01-2016,Under Control,24,2016,Week 24 of 2016,181.73,29.435714285714287,0.0,252.0,98.0,1005.0,387.0,75.07507507507508,1192.0,23.0,12.266153846153847,9.0,62.0,23.0,31.333333333333332,25.5,88.82,65.38000000000001,9.85,28.21142857142857,29.25857142857143,32.01,0.0,0.0,0.0,39.48499999999999,-1.8992857142857125,0.0,0.23931566428755768,-0.970941817426052,0.17457424066975938,1
TN/2017/19/1208,Tamil Nadu,Ariyalur,Acute Gastroenteritis,24,0,01-01-2017,07-01-2017,Under Surveillance,19,2017,Week 19 of 2017,4.82,31.714285714285715,0.0,189.0,79.0,1145.0,428.0,88.58858858858859,2197.0,39.0,16.205,54.0,9.0,62.0,41.666666666666664,31.2,181.73,88.82,65.38000000000001,29.435714285714287,28.21142857142857,29.25857142857143,0.0,0.0,0.0,58.17499999999998,0.08857142857143145,0.0,0.7485107481711013,-0.663122658240795,0.6873394423593879,1
TN/2017/24/1260,Tamil Nadu,Ariyalur,Acute Gastroenteritis,56,0,01-01-2017,07-01-2017,Closed,24,2017,Week 24 of 2017,36.44,30.424285714285713,0.0,232.0,100.0,1074.0,400.0,94.5945945945946,1520.0,34.0,16.205,24.0,54.0,9.0,29.0,30.0,4.82,181.73,88.82,31.714285714285715,29.435714285714287,28.21142857142857,0.0,0.0,0.0,-41.999999999999986,1.7514285714285696,0.0,0.23931566428755768,-0.970941817426052,0.6873394423593879,1
TN/2018/1/1526,Tamil Nadu,Ariyalur,Acute Gastroenteritis,14,0,01-01-2018,07-01-2018,Under Control,1,2018,Week 1 of 2018,22.17,27.73,0.0,330.0,136.0,1133.0,416.0,93.09309309309309,3759.0,262.0,13.218076923076923,56.0,24.0,54.0,44.666666666666664,33.714285714285715,36.44,4.82,181.73,30.424285714285713,31.714285714285715,29.435714285714287,0.0,0.0,0.0,-72.64500000000001,0.4942857142857155,0.0,0.12053668025532305,0.992708874098054,0.31972985351608724,0
TN/2018/10/1626,Tamil Nadu,Ariyalur,Acute Gastroenteritis,12,0,01-01-2018,07-01-2018,Closed,10,2018,Week 10 of 2018,11.14,29.83857142857143,0.0,221.0,85.0,688.0,269.0,80.18018018018019,1283.0,23.0,13.218076923076923,14.0,56.0,24.0,31.333333333333332,34.57142857142857,22.17,36.44,4.82,27.73,30.424285714285713,31.714285714285715,0.0,0.0,0.0,8.675000000000004,-1.9921428571428519,0.0,0.9350162426854148,0.35460488704253557,0.31972985351608724,0
TN/2018/29/1795,Tamil Nadu,Ariyalur,Acute Gastroenteritis,59,0,01-01-2018,07-01-2018,Under Surveillance,29,2018,Week 29 of 2018,41.2,30.025714285714287,0.0,182.0,77.0,1001.0,366.0,83.78378378378379,1103.0,24.0,13.218076923076923,12.0,14.0,56.0,27.333333333333332,33.0,11.14,22.17,36.44,29.83857142857143,27.73,30.424285714285713,0.0,0.0,0.0,-12.649999999999993,-0.29285714285714365,0.0,-0.3546048870425356,-0.9350162426854148,0.31972985351608724,1
TN/2018/43/1949,Tamil Nadu,Ariyalur,Acute Gastroenteritis,16,0,01-01-2018,07-01-2018,Closed,43,2018,Week 43 of 2018,48.05,28.32428571428571,0.0,324.0,124.0,1439.0,485.0,93.69369369369369,3665.0,63.0,13.218076923076923,59.0,12.0,14.0,28.333333333333332,32.57142857142857,41.2,11.14,22.17,30.025714285714287,29.83857142857143,27.73,0.0,0.0,0.0,9.514999999999995,1.1478571428571402,0.0,-0.8854560256532101,0.464723172043768,0.31972985351608724,0
TN/2018/48/2015,Tamil Nadu,Ariyalur,Acute Gastroenteritis,11,0,01-01-2018,07-01-2018,Closed,48,2018,Week 48 of 2018,129.22,27.565714285714286,0.0,380.0,157.0,1315.0,490.0,89.7897897897898,4448.0,93.0,13.218076923076923,16.0,59.0,12.0,29.0,33.57142857142857,48.05,41.2,11.14,28.32428571428571,30.025714285714287,29.83857142857143,0.0,0.0,0.0,18.455,-0.75714285714286,0.0,-0.4647231720437684,0.88545602565321,0.31972985351608724,0
TN/2019/2/2080,Tamil Nadu,Ariyalur,Acute Gastroenteritis,14,0,01-01-2019,07-01-2019,Under Surveillance,2,2019,Week 2 of 2019,17.79,27.398571428571426,0.0,232.0,88.0,1016.0,386.0,83.48348348348348,1099.0,36.0,16.049230769230768,11.0,16.0,59.0,28.666666666666668,27.428571428571427,129.22,48.05,41.2,27.565714285714286,28.32428571428571,30.025714285714287,0.0,0.0,0.0,44.009999999999984,-1.2300000000000015,0.0,0.23931566428755774,0.970941817426052,0.6301938184487369,0
TN/2019/8/2137,Tamil Nadu,Ariyalur,Acute Gastroenteritis,8,0,01-01-2019,07-01-2019,Under Surveillance,8,2019,Week 8 of 2019,15.51,29.915714285714284,0.0,185.0,71.0,1274.0,496.0,82.28228228228228,906.0,24.0,16.049230769230768,14.0,11.0,16.0,13.666666666666666,26.0,17.79,129.22,48.05,27.398571428571426,27.565714285714286,28.32428571428571,0.0,0.0,0.0,-15.129999999999992,-0.46285714285714,0.0,0.8229838658936564,0.5680647467311559,0.6301938184487369,0
TN/2019/11/2151,Tamil Nadu,Ariyalur,Acute Gastroenteritis,11,0,01-01-2019,07-01-2019,Under Control,11,2019,Week 11 of 2019,7.52,28.792857142857144,0.0,203.0,82.0,881.0,341.0,67.86786786786787,907.0,39.0,16.049230769230768,8.0,14.0,11.0,11.0,19.142857142857142,15.51,17.79,129.22,29.915714285714284,27.398571428571426,27.565714285714286,0.0,0.0,0.0,-56.855000000000004,1.175000000000001,0.0,0.970941817426052,0.23931566428755804,0.6301938184487369,0
